"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27776","SEARCH-001: Should search for a known product and verify the SRP loads with results","Bosch Power Tools E2E Tests","Sun Nov 30 10:45:09 IST 2025","passed","Sun Nov 30 10:45:37 IST 2025","Category B: Product Search Functionality","productsearch.spec.ts","",""
"","8752","should navigate to Tool Repair page from Service/Support section","Bosch Power Tools E2E Tests","Sun Nov 30 10:46:18 IST 2025","passed","Sun Nov 30 10:46:26 IST 2025","SERVICE-001 Verify the Tool Repair landing page is accessible","service-repair.spec.ts","",""
"","23149","NAV-002a: Verify core category links (Power Tools, Accessories)","Bosch Power Tools E2E Tests","Sun Nov 30 10:44:27 IST 2025","passed","Sun Nov 30 10:44:50 IST 2025","Category A: Site Integrity and Navigation (Smoke)","navtest.spec.ts","",""
"","8750","SEARCH-004: Should show ""No Results Found"" for a non-existent product","Bosch Power Tools E2E Tests","Sun Nov 30 10:46:09 IST 2025","passed","Sun Nov 30 10:46:17 IST 2025","Category B: Product Search Functionality","productsearch.spec.ts","",""
"","12409","Should display dealers or map after searching by ZIP","Bosch Power Tools E2E Tests","Sun Nov 30 10:46:10 IST 2025","passed","Sun Nov 30 10:46:23 IST 2025","SERVICE-002 Verify the Dealer Locator map loads","service-dealerlocator.spec.ts","",""
"","15323","Should verify the Hamburger Menu opens and reveals navigation links","Bosch Power Tools E2E Tests","Sun Nov 30 10:44:27 IST 2025","passed","Sun Nov 30 10:44:42 IST 2025","NAV-004: Mobile Responsiveness and Navigation","nav_mobile.spec.ts","",""
"","15366","NAV-001: Should load homepage, dismiss consent, and display core elements","Bosch Power Tools E2E Tests","Sun Nov 30 10:44:27 IST 2025","passed","Sun Nov 30 10:44:42 IST 2025","Category A: Site Integrity and Navigation (Smoke)","navtest.spec.ts","",""
"","15035","PDP-001: Should display essential product information on the PDP","Bosch Power Tools E2E Tests","Sun Nov 30 10:44:57 IST 2025","passed","Sun Nov 30 10:45:12 IST 2025","Category C: Product Details Page (PDP) Validation","productpdp.spec.ts","",""
"","42350","SEARCH-003: Should filter by battery system '18V Drill/Drivers' on SRP","Bosch Power Tools E2E Tests","Sun Nov 30 10:45:12 IST 2025","passed","Sun Nov 30 10:45:54 IST 2025","Category B: Product Search Functionality","productsearch.spec.ts","",""
"","25720","SEARCH-002: Should display auto-suggest list with relevant results for partial term","Bosch Power Tools E2E Tests","Sun Nov 30 10:45:11 IST 2025","passed","Sun Nov 30 10:45:37 IST 2025","Category B: Product Search Functionality","productsearch.spec.ts","",""
"","31697","SEARCH-003: Should filter by battery system '12V Max Drill/Drivers' on SRP","Bosch Power Tools E2E Tests","Sun Nov 30 10:45:37 IST 2025","passed","Sun Nov 30 10:46:09 IST 2025","Category B: Product Search Functionality","productsearch.spec.ts","",""
"","27690","NAV-002b: Verify tools category links (Measuring Tools, Hand Tools)","Bosch Power Tools E2E Tests","Sun Nov 30 10:44:27 IST 2025","passed","Sun Nov 30 10:44:55 IST 2025","Category A: Site Integrity and Navigation (Smoke)","navtest.spec.ts","",""
"","16795","should display at least one accessory tile and links should be clickable","Bosch Power Tools E2E Tests","Sun Nov 30 10:44:52 IST 2025","skipped","Sun Nov 30 10:45:09 IST 2025","PDP-004 Verify related accessories section (cross-selling)","productpdp-accessories.spec.ts","",""
"","42195","SEARCH-003: Should filter by battery system '18V Hammer Drill/Drivers' on SRP","Bosch Power Tools E2E Tests","Sun Nov 30 10:46:31 IST 2025","failed","Sun Nov 30 10:47:13 IST 2025","Category B: Product Search Functionality","productsearch.spec.ts","",""
"","15162","PDP-003: Should validate technical specification section content","Bosch Power Tools E2E Tests","Sun Nov 30 10:44:56 IST 2025","passed","Sun Nov 30 10:45:11 IST 2025","Category C: Product Details Page (PDP) Validation","productpdp.spec.ts","",""
"","32103","SEARCH-003: Should filter by battery system 'Cordless Drill/Drivers' on SRP","Bosch Power Tools E2E Tests","Sun Nov 30 10:45:38 IST 2025","passed","Sun Nov 30 10:46:10 IST 2025","Category B: Product Search Functionality","productsearch.spec.ts","",""
"","21252","NAV-002c: Verify service category links (Service, Trade Solutions, New Products)","Bosch Power Tools E2E Tests","Sun Nov 30 10:44:43 IST 2025","passed","Sun Nov 30 10:45:04 IST 2025","Category A: Site Integrity and Navigation (Smoke)","navtest.spec.ts","",""
"","31252","SEARCH-003: Should filter by battery system 'Cordless Hammer Drill/Drivers' on SRP","Bosch Power Tools E2E Tests","Sun Nov 30 10:45:54 IST 2025","passed","Sun Nov 30 10:46:26 IST 2025","Category B: Product Search Functionality","productsearch.spec.ts","",""
"","13223","NAV-003: Verify all footer links return HTTP 200 status","Bosch Power Tools E2E Tests","Sun Nov 30 10:44:43 IST 2025","passed","Sun Nov 30 10:44:57 IST 2025","Category A: Site Integrity and Navigation (Smoke)","navtest.spec.ts","",""
"","33344","PDP-002: Should open ""Where to Buy"" or Dealer Locator from PDP","Bosch Power Tools E2E Tests","Sun Nov 30 10:45:05 IST 2025","passed","Sun Nov 30 10:45:38 IST 2025","Category C: Product Details Page (PDP) Validation","productpdp.spec.ts","",""
